10.0,9.0,4.0,3.0,3.0,48.0,13.4,4.1,2.0,6.0,21.0,1.0,9.0,0.0,49.3,16.6,4.2,1.6,4
15.0,14.0,4.0,3.0,3.0,48.1,14.0,4.1,2.0,17.0,13.0,4.0,3.0,3.0,56.0,11.5,6.8,1.7,1
14.0,13.0,4.0,3.0,3.0,47.6,14.1,4.0,1.7,10.0,16.0,4.0,5.0,1.0,47.9,12.8,5.2,2.7,1
12.0,11.0,4.0,4.0,2.0,48.2,14.3,5.1,2.0,10.0,17.0,3.0,6.0,1.0,54.8,15.0,5.9,1.9,2
13.0,11.0,4.0,3.0,3.0,49.1,15.7,5.4,1.9,13.0,12.0,3.0,3.0,4.0,49.5,18.7,5.5,2.6,2
11.0,13.0,3.0,4.0,3.0,49.4,16.8,5.1,2.0,18.0,8.0,6.0,1.0,3.0,51.0,15.2,4.7,1.6,4
14.0,15.0,4.0,4.0,2.0,50.1,16.5,5.3,2.3,15.0,11.0,6.0,3.0,1.0,48.1,18.6,4.1,2.2,2
15.0,12.0,5.0,3.0,2.0,48.9,16.6,5.5,2.3,14.0,9.0,5.0,3.0,2.0,49.9,11.4,4.7,2.3,4
17.0,15.0,5.0,3.0,2.0,47.6,16.5,4.8,2.0,13.0,12.0,5.0,5.0,0.0,50.4,13.4,5.8,4.2,4
16.0,13.0,5.0,3.0,2.0,48.1,16.4,5.1,1.7,13.0,16.0,4.0,5.0,1.0,47.1,13.6,5.4,2.3,4
18.0,16.0,4.0,3.0,3.0,50.0,16.8,5.4,1.8,14.0,7.0,4.0,2.0,4.0,54.1,11.9,5.2,0.8,4
19.0,19.0,4.0,3.0,3.0,49.0,16.7,5.2,1.7,6.0,16.0,1.0,6.0,3.0,49.7,15.6,5.7,2.1,1
27.0,13.0,5.0,2.0,3.0,50.6,16.7,6.0,2.4,10.0,17.0,4.0,6.0,0.0,53.6,13.4,6.6,2.1,4
26.0,13.0,5.0,3.0,2.0,51.3,18.1,6.6,2.6,9.0,11.0,3.0,4.0,3.0,46.6,16.7,3.2,1.7,1
23.0,11.0,5.0,4.0,1.0,51.6,18.2,6.4,2.6,18.0,14.0,4.0,3.0,3.0,50.9,12.5,4.0,2.9,1
25.0,8.0,5.0,4.0,1.0,52.8,19.3,5.6,2.6,13.0,23.0,2.0,5.0,3.0,42.8,15.6,5.0,2.0,4
25.0,10.0,5.0,4.0,1.0,53.4,19.0,5.5,2.7,14.0,6.0,5.0,2.0,3.0,55.8,12.5,5.9,1.8,2
23.0,10.0,6.0,4.0,0.0,54.0,20.0,5.5,2.4,8.0,7.0,4.0,3.0,3.0,50.4,13.5,5.9,2.5,3
23.0,11.0,6.0,4.0,0.0,54.4,19.5,5.4,2.3,13.0,19.0,4.0,4.0,2.0,48.0,9.4,5.5,2.6,2
20.0,11.0,6.0,3.0,1.0,53.7,19.4,5.0,1.9,10.0,18.0,1.0,5.0,4.0,50.0,11.3,5.9,1.1,3
20.0,10.0,6.0,3.0,1.0,53.7,20.0,4.4,2.3,21.0,8.0,6.0,3.0,1.0,59.2,14.1,5.7,2.4,3
20.0,11.0,6.0,2.0,2.0,51.9,17.9,5.3,2.3,8.0,24.0,1.0,9.0,0.0,46.4,17.4,4.4,2.0,3
18.0,12.0,6.0,2.0,2.0,52.2,18.7,5.5,2.6,8.0,8.0,3.0,3.0,4.0,47.1,19.4,4.2,2.0,3
18.0,10.0,6.0,2.0,2.0,52.8,18.2,6.1,2.4,12.0,13.0,3.0,3.0,4.0,55.0,14.2,5.3,2.4,4
18.0,12.0,5.0,2.0,3.0,52.2,17.2,5.7,2.8,15.0,10.0,3.0,1.0,6.0,49.2,14.2,5.9,2.8,3
19.0,11.0,5.0,2.0,3.0,52.5,17.9,6.6,2.6,14.0,10.0,5.0,2.0,3.0,53.9,11.9,5.3,3.4,4
20.0,12.0,5.0,2.0,3.0,51.4,17.9,6.8,2.6,11.0,11.0,2.0,3.0,5.0,50.2,14.5,5.1,3.9,4
19.0,11.0,5.0,2.0,3.0,51.6,17.0,6.5,2.3,17.0,12.0,4.0,2.0,4.0,53.5,14.1,5.9,2.3,1
18.0,10.0,5.0,2.0,3.0,53.0,15.6,6.6,2.0,13.0,9.0,4.0,3.0,3.0,51.3,12.6,6.1,2.5,1
20.0,9.0,6.0,2.0,2.0,52.4,15.7,5.6,1.8,11.0,16.0,2.0,5.0,3.0,51.5,15.1,7.5,2.2,1
17.0,10.0,5.0,3.0,2.0,50.8,17.3,5.0,1.7,10.0,16.0,2.0,4.0,4.0,43.6,14.6,4.0,2.6,1
16.0,9.0,5.0,3.0,2.0,50.4,16.7,4.9,1.5,22.0,17.0,4.0,2.0,4.0,47.8,16.0,4.4,2.6,3
